,text,category,polarity
116,first went here to enjoy their garden terrace .,3,1
118,"everyone i have spoken too there is super friendly , helpful , and willing to the extra mile for a customer .",1,1
119,the pizza was pretty good and huge .,0,1
120,sapphire is the only indian restaurant i go to when i'm in nyc .,4,1
121,"the cuisine from what i've gathered is authentic taiwanese , though its very different from what i've been accustomed to in taipei .",0,0
122,i heartily recommend .,4,1
123,heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones .,4,1
124,i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded .,3,1
125,they are often crowded on the weekends but they are efficient and accurate with their service .,1,1
126,they are often crowded on the weekends but they are efficient and accurate with their service .,3,-1
127,all my co-workers were amazed at how small the dish was .,0,-1
128,"the atmosphere is unheralded , the service impecible , and the food magnificant .",0,1
129,"the atmosphere is unheralded , the service impecible , and the food magnificant .",1,1
130,"the atmosphere is unheralded , the service impecible , and the food magnificant .",3,1
131,"we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",0,-1
132,"the wait staff is friendly , and the food has gotten better and better!",0,1
133,"the wait staff is friendly , and the food has gotten better and better!",1,1
134,"this place , which is only a few months old , is perhaps queens' biggest secret!",4,1
135,"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",0,1
137,this place is so much fun .,4,1
138,i was glad i did .,4,1
139,right off the l in brooklyn this is a nice cozy place with good pizza .,0,1
140,right off the l in brooklyn this is a nice cozy place with good pizza .,3,1
141,i've never been treated so rudely .,1,-1
142,i'll be back soon .,4,1
143,le pere pinard has a $15 pre-theater menu that is outstanding .,0,1
144,went inside and i started to get excited .,4,1
145,i also ordered for delivery and the restaurant forgot half the order .,1,-1
146,our server checked on us maybe twice during the entire meal .,1,-1
147,"however , it is jus too good to not praise it .",4,1
148,we have been to montparnasse many times and return often for good reason .,4,1
149,the strong scents coming from the left and right of me negatively affected my taste buds .,4,-1
150,we had the lobster sandwich and it was fantastic .,0,1
151,it's somewhere you can eat and be happy .,4,1
152,"if you wrote a bad review , it's because you don't understand what rao's is all about .",4,1
153,"had we been stalling i could understand where they were coming from , but we had been there less than an hour and they hadn't even brought us a check yet!",1,-1
154,but overall i give it a 10,4,1
155,"though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .",0,1
156,"though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .",5,1
157,deep fried skewers are good and still rare to find in nyc .,0,1
158,"i have tried to make reservations , but both times , the hostess didn't have my name .",1,-1
159,i also recommend the rice dishes or the different varieties of congee ( rice porridge ) .,0,1
160,their tuna tartar appetizer is to die for .,0,1
161,this was one of the best restaurants i've ever been to .,4,1
162,this restaurant used to be pretty decent .,4,-1
163,"an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef's passion ( and kitchen's precise execution ) is most evident in the fish dishes and soups .",0,1
164,"if you love wine and cheese and delicious french fare , you'll love artisanal!",0,1
165,i love indian food and consider myself to be quite an expert on it .,0,1
166,some baby pizzas get their wish .,0,0
167,plenty of choices to make your own creation .,0,1
168,it was tiny and i felt like i was eating in someone's living room .,3,-1
169,i was there on sat .,4,0
170,overall a oh ya even though there is waiting it is deff worth it,4,1
171,overall a oh ya even though there is waiting it is deff worth it,1,-1
172,the lava cake dessert was incredible and i recommend it .,0,1
173,vt is what baby pizzas hope to be when they grow up .,4,1
174,"from the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .",0,-1
175,"from the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .",1,-1
176,lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars .,0,1
177,lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars .,5,1
178,the last time i went we were seated at a table in a corridor next to the kitchen .,4,-1
179,good selection of wines ranging from affordable to high end .,0,1
181,"nice restaurant overall , with classic upscale italian decor .",3,1
182,not impressed with the food .,0,-1
183,the entire dining experience was wonderful!,4,1
184,the wine selection ( by the glass and bottle ) is wonderful and i always recommend that friends make a reservation if they're going to be in town .,0,1
185,the wine selection ( by the glass and bottle ) is wonderful and i always recommend that friends make a reservation if they're going to be in town .,4,1
186,service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress .,1,1
187,"order the panang duck , it's fantastic .",0,1
190,what more can you ask for?,4,1
191,wondering who had the best deals we noticed a line had formed to wait for this one particular establishment .,4,0
192,they have authentic indian at amazin prices .,0,1
193,they have authentic indian at amazin prices .,5,1
194,you are treated just like royality .,1,1
196,ambiance- relaxed and stylish .,3,1
197,i've never felt more unwelcome than last month at jimmy's bronx cafe .,4,-1
198,"luckily we saved room for the bbq salmon , sea bass and crispy duck .",0,1
199,"yes , they use fancy ingredients , but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right .",0,-1
200,"looking from the outside in , one would hesitate to enter this hole in the wall ( really , that's what it is ) .",3,-1
201,and yes dal bukhara is so dam good and so are all the kababs .,0,1
202,i look forward to eating here again,4,1
203,i've been coming here as a child and always come back for the taste .,0,1
204,tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .,0,1
205,tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .,3,1
206,tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .,5,1
207,"a glass of leaping lizard , a glass of prosecco , and the mussels had everything happy .",0,1
208,"food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .",0,-1
209,the food always tastes fresh and served promptly .,0,1
210,the food always tastes fresh and served promptly .,1,1
211,i know because i live nearby .,4,0
212,the pizza here is delicious .,0,1
213,my entire family was horrified .,4,-1
214,on a monthly basis my friends and i get together and have a girls night out .,4,0
215,"pizza and garlic knots are great as well , i order from them quite often and the delivery is always super quick!",0,1
216,"pizza and garlic knots are great as well , i order from them quite often and the delivery is always super quick!",1,1
217,"for great chinese food nearby , you have wu liang ye and grand sichuan just a block away .",0,1
218,but who says murray's is anything about service .,1,0
219,"this place is really trendi but they have forgotten about the most important part of a restaurant , the food .",0,-1
220,"this place is really trendi but they have forgotten about the most important part of a restaurant , the food .",4,1
221,i have never been disappointed in the red eye .,4,1
222,hats off to the chef .,0,1
223,this should have been done in a back room - away from customers .,4,-1
224,"service could be improved but overall this is a place that understands the importance of little things ( the heavy , black , antique-seeming teapot , for one ) in the restaurant experience .",4,1
225,"service could be improved but overall this is a place that understands the importance of little things ( the heavy , black , antique-seeming teapot , for one ) in the restaurant experience .",1,-1
226,glad you have the luxury to throw out paying customers .,4,0
227,"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria's .",0,1
228,its an excellent place to relax and the food is one of the best in the city of new york .,0,1
229,its an excellent place to relax and the food is one of the best in the city of new york .,3,1
230,"service is friendly , and never had a problem walking in and getting a table .",1,1
232,check it out,4,1
233,"first off , the waitress was completely unattentive the 2 times we saw her( odd in a restaurant with 6 tables ) and got our order wrong .",1,-1
234,don't go .,4,-1
235,the food was bland oily .,0,-1
236,but they do .,4,0
237,"what is even better , is that the prices are very affordable as well , and the food is really good .",0,1
238,"what is even better , is that the prices are very affordable as well , and the food is really good .",5,1
240,look i dont know if the people who wrote the reviews have ever been to a decent place ( please try someother places ) .,4,0
241,suan has challenged this loyalty .,4,0
242,"our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .",0,1
243,"and kruno , the beverage manager is the best bartender i have yet to come across .",1,1
244,"ambiance and music funky , which i enjoy .",3,1
245,"the food , drinks and service are clearly among the best in the city .",0,1
246,"the food , drinks and service are clearly among the best in the city .",1,1
247,i went there in late afternoon for some bite size food and refleshment with my date .,4,0
248,"it's a really great deal , considering we got full off of four dollars .",5,1
249,"i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .",0,1
250,"i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .",3,1
251,"i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .",1,1
252,went with mommy ( the only person who could afford taking me here ) .,4,0
253,my friends and i were on vacation in ny and was referred to chance by a friend .,4,0
254,"last time i went here , the waitress didn't come back after taking our order .",1,-1
255,try the tandoori salmon!,0,1
256,"i am completely hooked on this place , it is ridiculous .",4,1
257,"eating in , the atmosphere saves it , but at your desk , it's a very disappointing experience .",4,-1
258,"eating in , the atmosphere saves it , but at your desk , it's a very disappointing experience .",3,1
259,"granted the space is smaller than most , it is the best service you will find in even the largest of restaurants .",1,1
260,"granted the space is smaller than most , it is the best service you will find in even the largest of restaurants .",3,-1
261,"have recommended the place to friends , always gets good response .",4,1
262,we will return many times for this oasis in mid-town .,4,1
263,i love the atmorphere @ peep!,3,1
264,enjoy!,4,1
265,we weren't!,4,0
266,this is one of my favorite restaurants and it is not to be missed .,4,1
267,( la rosa is connected by a swinging door to the mexican restaurant pacifico ) .,4,0
268,it could have been handled better .,4,-1
269,the service was attentive and her suggestions of menu items was right on the mark .,1,1
270,the other night we had the $30 three course meal and everything was delicious - if i could of licked the plate clean i would of .,0,1
271,please be aware that it's cash or amex only!,4,0
272,"even after getting pushed out by the no-class famous ray's , sal has risen again to carry on his father's uncle's legacies with a smile , true love for his community , and let's not forget the outstanding pizza!",0,1
273,it's a rather cramped and busy restaurant and it closes early .,3,-1
274,"the environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .",0,-1
275,"the environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .",1,-1
276,"the environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .",3,1
277,"we had crawfish boiled and despite making a mess , it was a ton of fun and quite tasty as well .",0,1
278,i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion .,4,0
279,they were served warm and had a soft fluffy interior .,0,1
280,what came to our table was burned beyond recognition and stringy .,0,-1
281,i had the pad thai and the noodles were sticky .,0,-1
282,"so i've never actually been to m proper , but i've had it delivered a few times .",4,0
283,"among all of the new 5th avenue restaurants , this offers by far one of the best values for your money .",5,1
284,"frankly , when you compare what you can have here for lunch , versus mcds or so many other sandwich shops in the city , there is no comparison .",0,1
285,the hostess is rude to the point of being offensive .,1,-1
286,"if you're craving for haru's great food , especially the house roll , but can't stand the wait building outisde , head across the street to their sake bar!",0,1
287,"if you're craving for haru's great food , especially the house roll , but can't stand the wait building outisde , head across the street to their sake bar!",1,-1
288,"a narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .",3,-1
289,the food is great .,0,1
290,succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill .,0,1
291,"lunch came with pickels and slaw , no extra charge .",5,1
292,decent wine at reasonable prices .,0,1
293,decent wine at reasonable prices .,5,1
294,all conveniently delivered right to the door .,1,1
295,even the wine by the glass was good .,0,1
296,nice family owned traditional restaurant .,4,1
297,would have rather tried terrace in the sky or water club for that price,4,0
298,would have rather tried terrace in the sky or water club for that price,5,-1
299,this dish is my favorite and i always get it when i go there and never get tired of it .,0,1
300,"i also ordered the change mojito , which was out of this world .",0,1
301,okay service .,1,0
302,the only thing more wonderful than the food ( which is exceptional ) is the service .,0,1
303,the only thing more wonderful than the food ( which is exceptional ) is the service .,1,1
304,we were very pleasantly surprised .,4,1
305,"the food was just awful , atrocious actually .",0,-1
306,i will never visit this restaurant again .,4,-1
307,the soup for the udon was soy sauce and water .,0,-1
308,"the anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",0,1
309,the waitress suggested glasses of wine that went very well with the food .,0,1
310,the waitress suggested glasses of wine that went very well with the food .,1,1
311,"( or sister , in my case! ) .",4,0
312,i've eaten at many different indian restaurants .,4,0
313,"they might be all business at the counter when you give your order , but their food says i love you .",0,1
314,"they might be all business at the counter when you give your order , but their food says i love you .",1,-1
315,"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",0,1
316,try their plain pizza with fresh garlic or eggplant .,0,1
317,don't go there!,4,-1
319,good luck getting a table .,4,-1
320,"we picked it randomly , without a recommendation from someone who has been there , so we weren't sure what to expect .",4,0
321,don't look down your nose at me like that . . .,4,-1
322,planet thai is great!,4,1
323,the service is awful .,1,-1
324,just don't do it .,4,-1
325,just ignore the trendy wannabes .,4,-1
326,"the takeout menu says to keep an eye out for an expanded menu offering more italian dishes , i can't wait!",0,1
327,"trust me , it will be great , and all of it will be devoured in no time .",0,1
328,my girlfiends and i ate at o .g . again last night .,4,0
329,i wish they had one near my office- i would go everyday .,4,1
330,finally!,4,1
331,amma has the worst value for money i have experienced in nyc over the past 2 years .,5,-1
332,"i am not the most experienced person when it comes to thai food , but my friend who took me there is .",4,0
333,i think this would be a pretty good spot if it were not so overpriced and overrated .,5,-1
334,regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes .,1,1
335,the pizza is good though .,0,1
336,bottles of wine are cheap and good .,5,1
337,bottles of wine are cheap and good .,0,1
338,you will not be disapointed at all .,4,1
339,walk-ins are risky too .,4,-1
340,"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .",0,1
341,they didn't give us the dinner special until we asked for it .,1,-1
342,you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,0,1
343,"word of advice , save room for pasta dishes and never leave until you've had the tiramisu .",0,1
344,very good service and very good prices .,1,1
345,very good service and very good prices .,5,1
346,i recently went to this restaurant with some co-workers for lunch and had an amazing time .,4,1
347,"the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .",1,1
348,ess-a-bagel ( either by sty-town or midtown ) is by far the best bagel in ny .,0,1
349,our food was great too!,0,1
350,open late ( well as late as i ever got there and i'm a night person ),4,1
351,"the most annoying thing , though , is the fact that the servers seem to be trained to drive revenue .",1,-1
352,"get your food to go , find a bench , and kick back with a plate of dumplings .",4,1
353,"please try the filet mignon , its just the most tender piece ever .",0,1
354,"everything we had was pretty good , but we have only been there once .",0,1
355,"we were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the $2 was gone the people next to us said the bartender took it .",4,-1
356,something about them being busy with holiday party's .,4,-1
357,the sake menu should not be overlooked!,0,1
358,i would highly recommend .,4,1
359,this place is great .,4,1
360,the drinks are amazing and half off till 8pm .,0,1
361,the drinks are amazing and half off till 8pm .,5,1
362,i've been back to nha trang literally a hundred times for the beef cubes - they're that good .,0,1
363,"with so many poor experiences to be had in the theater district , is truly an excellent find!",4,1
364,this has got to be one of the most overrated restaurants in brooklyn .,4,-1
365,"the service , wine selection , ambiance are all outstanding and deserve recognition .",0,1
366,"the service , wine selection , ambiance are all outstanding and deserve recognition .",1,1
367,"the service , wine selection , ambiance are all outstanding and deserve recognition .",3,1
368,"went there last night for 2 year anniversery , and wasn't all that impressed .",4,-1
369,it was rather pathetic that it took them over an hour to seat us .,1,-1
371,at first i was slightly skeptical because it was a sushi restaurant in the middle of nyc .,4,0
372,"it's really also the service , is good and the waiters are friendly .",1,1
373,suan was a recommendation that i am glad we heeded .,4,1
375,we visit at least once a month .,4,0
376,"it is set far from the small street it's on , and there is no traffic noise .",3,1
377,"also , the place is popular with families , so if you're bothered by children running loose like wild animals , come later at night to avoid them .",3,0
378,i'll keep this short .,4,0
379,i felt as though i were eating in paris .,3,1
380,lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there .,4,0
381,lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there .,0,1
382,"i highly recommend cafe st . bart's for their food , the ambience and wonderful service .",0,1
383,"i highly recommend cafe st . bart's for their food , the ambience and wonderful service .",1,1
384,"i highly recommend cafe st . bart's for their food , the ambience and wonderful service .",3,1
385,"however , it's not worth a special trip .",4,-1
386,nice value .,5,1
387,gigino's in wagner park is so enjoyable .,4,1
388,and it was quick which is very important .,1,1
389,this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,4,1
390,all the nyu students love this place so it makes for a fun young atmosphere .,3,1
391,the food here does a great service to the name ( cantonese that is . . . ) .,0,1
392,"but , nothing stands out about the cooking .",0,0
393,joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere .,3,1
394,joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere .,0,1
395,"if that's a problem , go to mcdonald's and destroy your insides .",4,-1
396,the prix fixe menu is worth every penny and you get more than enough ( both in quantity and quality ) .,0,1
397,the prix fixe menu is worth every penny and you get more than enough ( both in quantity and quality ) .,5,1
398,i've been here 3 times for lunch and it is one of my favorites in the city .,4,1
399,"i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was .",0,-1
400,"i work near-by , and they have the best oatmeal in the neighborhood- not a packaged or quick-cooked item .",0,1
402,too bad the food wasn't of the same heritage .,0,-1
404,"the menu looked good , except for offering the chilean sea bass , but the server does not offer up the specials that were written on the board outside .",1,-1
405,sexy .,4,1
406,"the food was really good , i had the onion soup and it was one of the best ever .",0,1
407,"i will have to say , this bengali fast food joint is clearly my favorite .",4,1
408,i'm not picky - but it was actually gross .,0,-1
409,"overall , a solid restaurant and at less than $40pp ( including wine ) , a solid deal as well .",4,1
410,"overall , a solid restaurant and at less than $40pp ( including wine ) , a solid deal as well .",5,1
411,"since it literally is a complete hole in the wall , it's a bit intimidating at first , but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get .",1,1
412,"since it literally is a complete hole in the wall , it's a bit intimidating at first , but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get .",3,-1
414,"it costs $2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that's not just from the rice .",0,0
415,"it costs $2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that's not just from the rice .",5,-1
416,"even with john's and joe's around the corner , this place will make a name for itself .",4,1
417,"it melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery .",0,1
418,"when he finally did , he was unable to make a gin and tonic -- couldn't find tonic .",1,-1
419,my girlfriend convinced me to go in the other night for a quick bite .,4,0
420,"the dim sum is ok but doesn't taste that fresh , and the little dishes don't look steamy hot as they should ( also note lack of chinese here ) .",0,-1
421,despite the untasteful previous review . . .,4,0
422,"don't judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",4,1
423,"sure , everyone's got their favorite , but to know sal , is to know new york .",4,0
424,i think that it is absolutely brilliant and well runned business operation .,4,1
425,also they were $15 each!,5,-1
427,"my friends spoke so much about it for months , i finally made the time to come down ear and dine in .",4,0
428,if you want good authentic thai this place is not the place to go .,0,-1
429,i recommend getting a reservation even though we saw people seated without one .,4,0
430,the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,0,0
431,this is as good as neighborhood restaurants come .,4,0
432,"if you want some roast duck , pork or chicken on rice with ginger , try them out!",0,1
433,"you order from a menu , so you leave feeling like you missed the full experience .",4,-1
434,one of the more authentic shanghainese restaurants in the us definitely the best in manhattan chinatown .,4,1
435,we will go back every time we are in the city .,4,1
436,we love th pink pony .,4,1
437,so eat fast and order a lot .,4,0
438,staff is very accomodating .,1,1
439,i have to agree with the previous reviewer .,4,0
440,--eat club is a roving group of nyc gluttons,4,0
441,"if you were there when it first opened , give this restaurant a second chance .",4,1
442,i went to del frisco's friday night with my boyfriend for an 8 :00 reservation .,4,0
443,"if you like sakagura but you feel it's too much , you'd better try yokocho .",4,0
444,yourself a favor and have dinner here and see if you dont agree with me .,4,1
445,definitely a great spot for a nice occasion or date .,4,1
446,you can't go wrong with this place .,4,1
447,very popular style izakaya ( sake and small portion of sake-friendly dishes ) .,0,1
448,hurley's is like cheers where everyone knows your name and they are actually glad you came .,1,1
449,not pretentious and very economical .,3,1
450,not pretentious and very economical .,5,1
451,"the food was terrific and the service classy , attentive , without being overbearing .",0,1
452,"the food was terrific and the service classy , attentive , without being overbearing .",1,1
453,this is an amazing place to try some roti rolls .,0,1
454,fresh ingredients and everything is made to order .,0,1
455,"we have never had any problems with charging the meal or the tip , and the food was delivered quickly , but we live only a few minutes walk from them .",1,1
456,quick and friendly service .,1,1
457,authentic bistro!,4,1
459,somewhat pricey but what the heck .,5,-1
460,"it's true , this place is not cheap .",5,-1
461,"try the hot dogs too , they're snappy and delicious .",0,1
462,delivery is fast too .,1,1
463,"being from the south , there aren't any good delis in my area and while watching foods across america on pbs i found out about katz's deli .",4,0
464,"the noise level was unbearable , conversation impossible .",3,-1
465,personal pans are the perfect size for those hungry nights .,0,1
466,highly recommended is the spicy fried clam rolls and spider rolls .,0,1
467,one of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way .,4,1
